college,department,course_id,course_code,memo,summary,name,chinese_name,limit,reg_num,time,credit,hours,lecturer,type
語言與溝通,Department of Humanities and Social Sciences,310016.0,HKHS20034,上課教室：資訊中心訓練教室,語言與溝通-溝通表達(111),"Presentation in English
LCCC",英文簡報,Unlimited,0.0,W234-,3.0,3.0,段馨君,Elective
語言與溝通,Liberal Arts College,161051.0,GECE00097,,"校基本素養(106)
博雅選修通識 (90),語言與溝通-溝通表達(111)","Interpersonal Relations and Communication
Optional Liberal EducationLCCCGECL",人際關係與溝通,35,0.0,F34-YT204[YM],2.0,2.0,彭懷恩,Core curriculum
語言與溝通,Liberal Arts College,161056.0,GECE00101,[1] 具日文基礎，為維持教學品質，限制修課人數。 [2] 陽明校區110學年學制學生不列計核心、語言與溝通學分。,"博雅選修通識 (90)
語言與溝通-第二外語(111)","Basic Japanese (II)
Optional Liberal EducationLCLS",初級日文(二),32,0.0,R12-YT103[YM],2.0,2.0,詹兆雯,Language & communication
語言與溝通,Liberal Arts College,161057.0,GECE00102,[1] 具日文基礎，為維持教學品質，限制修課人數。 [2] 陽明校區110學年學制學生不列計核心、語言與溝通學分。,"博雅選修通識 (90)
語言與溝通-第二外語(111)","Basic Japanese (IV)
Optional Liberal EducationLCLS",初級日文(四),32,0.0,T9a-YT103[YM],2.0,2.0,詹兆雯,Language & communication
語言與溝通,Liberal Arts College,161058.0,GECE00133,[1] 為維持教學品質，限制修課人數。 [2] 陽明校區110學年學制學生不列計核心、語言與溝通學分。,"博雅選修通識 (90)
語言與溝通-第二外語(111)","French(I)
Optional Liberal EducationLCLS",法文(一),32,0.0,M78-YX201[YM],2.0,2.0,張玉蕙,Language & communication
語言與溝通,Liberal Arts College,161059.0,GECE00134,[1] 具法文基礎，為維持教學品質，限制修課人數。 [2] 陽明校區110學年學制學生不列計核心、語言與溝通學分。 [3] 陽明校區：採「實體授課」與「實體考試」。 [4] 交大校區：採「遠距授課」，選課同學自行上線參與課程。但採「實體考試」，時間另訂。 [5] 每星期五中午12:20在交大校區開放實體教室提問及教學指導。,"博雅選修通識 (90)
語言與溝通-第二外語(111)","French (Ⅱ)
Optional Liberal EducationLCLS",法文(二),32,0.0,M9a-YX201[YM],2.0,2.0,張玉蕙,Language & communication
語言與溝通,Liberal Arts College,161060.0,GECE00114,[1] 具德文基礎，為維持教學品質，限制修課人數。 [2] 陽明校區110學年學制學生不列計核心、語言與溝通學分。,"博雅選修通識 (90)
語言與溝通-第二外語(111)","German (II)
Optional Liberal EducationLCLS",德文(二),32,0.0,F56-YX406[YM],2.0,2.0,唐岱霞,Language & communication
語言與溝通,Liberal Arts College,161061.0,GECE00113,[1] 具德文基礎，為維持教學品質，限制修課人數。 [2] 陽明校區110學年學制學生不列計核心、語言與溝通學分。,"博雅選修通識 (90)
語言與溝通-第二外語(111)","German (III)
Optional Liberal EducationLCLS",德文(三),32,0.0,F78-YX201[YM],2.0,2.0,唐岱霞,Language & communication
語言與溝通,Liberal Arts College,161062.0,GECE00213,[1] 為維持教學品質，限制修課人數。 [2] 陽明校區110學年學制學生不列計核心、語言與溝通學分。,"博雅選修通識 (90)
語言與溝通-第二外語(111)","Korean Language and culture (I)
Optional Liberal EducationLCLS",韓語和韓國文化(一),32,0.0,T34-YX201[YM],2.0,2.0,沈明珠,Language & communication
語言與溝通,Liberal Arts College,161063.0,GECE00157,[English Medium Course] [1] 限物治一。 [2] 全英語授課，為維持教學品質，限制修課人數。,"語言-英文(90)
語言與溝通-英文(111)","English in Arts
LCLEEnglish LiteratureENG",藝術英文,32,0.0,T12-YT204[YM],2.0,2.0,吳哲硯,Language & communication
語言與溝通,Liberal Arts College,161064.0,GECE00327,[English Medium Course] [1] 限醫放一。 [2] 全英語授課，為維持教學品質，限制修課人數。,"語言-英文(90)
語言與溝通-英文(111)","Rhetoric in Western Literature and Culture
LCLEEnglish LiteratureENG",西方文學與文化中的修辭,32,0.0,T34-YT204[YM],2.0,2.0,吳哲硯,Language & communication
語言與溝通,Liberal Arts College,161065.0,GECE00328,[English Medium Course] [1] 限醫技一、護理一、醫工一。 [2] 全英語授課，為維持教學品質，限制修課人數。,"語言-英文(90)
語言與溝通-英文(111)","VOA: Science & Technology
LCLEEnglish LiteratureENG",VOA美國之音：科學與科技,32,0.0,W12-YX503[YM],2.0,2.0,林志瑋,Language & communication
語言與溝通,Liberal Arts College,161066.0,GECE00152,[English Medium Course] [1] 限醫技一、護理一、醫工一。 [2] 全英語授課，為維持教學品質，限制修課人數。,"語言-英文(90)
語言與溝通-英文(111)","Cross-Cultural Communication in English
LCLEEnglish LiteratureENG",英文跨文化溝通,32,0.0,W12-YT203[YM],2.0,2.0,何彥如,Language & communication
語言與溝通,Liberal Arts College,161067.0,GECE00160,[English Medium Course] [1] 限醫技一、護理一、醫工一。 [2] 全英語授課，為維持教學品質，限制修課人數。,"語言-英文(90)
語言與溝通-英文(111)","Advanced English Listening and Speaking
LCLEEnglish LiteratureENG",進階英語聽講練習,32,0.0,W12-YX201[YM],2.0,2.0,邱剛彥,Language & communication
語言與溝通,Liberal Arts College,161068.0,GECE00108,[English Medium Course] [1] 限醫學一。 [2] 全英語授課，為維持教學品質，限制修課人數。,"語言-英文(90)
語言與溝通-英文(111)","Philosophy in Fiction
LCLEEnglish LiteratureENG",小說中的哲學思想,32,0.0,R12-YX201[YM],2.0,2.0,程曉杰,Language & communication
語言與溝通,Liberal Arts College,161069.0,GECE00152,[English Medium Course] [1] 限醫學一。 [2] 全英語授課，為維持教學品質，限制修課人數。,"語言-英文(90)
語言與溝通-英文(111)","Cross-Cultural Communication in English
LCLEEnglish LiteratureENG",英文跨文化溝通,32,0.0,R12-YT203[YM],2.0,2.0,何彥如,Language & communication
語言與溝通,Liberal Arts College,161070.0,GECE00328,[English Medium Course] [1] 限牙醫一。 [2] 全英語授課，為維持教學品質，限制修課人數。,"語言-英文(90)
語言與溝通-英文(111)","VOA: Science & Technology
LCLEEnglish LiteratureENG",VOA美國之音：科學與科技,32,0.0,F12-YX503[YM],2.0,2.0,林志瑋,Language & communication
語言與溝通,Liberal Arts College,161071.0,GECE00108,[English Medium Course] [1] 限生科一、不分系一。 [2] 全英語授課，為維持教學品質，限制修課人數。,"語言-英文(90)
語言與溝通-英文(111)","Philosophy in Fiction
LCLEEnglish LiteratureENG",小說中的哲學思想,32,0.0,F34-YX201[YM],2.0,2.0,程曉杰,Language & communication
語言與溝通,Language Teaching and Research Center,562000.0,GELT00001,,"進階(87)
語言與溝通-英文(111)","English Listening and Discussion
LCLE",英文聽力與討論,25,0.0,M78-A507[GF],2.0,2.0,林律君,Language & communication
語言與溝通,Language Teaching and Research Center,562001.0,GELT00001,[English Medium Course],"進階(87)
語言與溝通-英文(111)","English Listening and Discussion
LCLEENG",英文聽力與討論,25,0.0,T12-A506[GF],2.0,2.0,李麥德,Language & communication
語言與溝通,Language Teaching and Research Center,562002.0,GELT00001,,"進階(87)
語言與溝通-英文(111)","English Listening and Discussion
LCLE",英文聽力與討論,25,0.0,T34-A504[GF],2.0,2.0,郭詩芝,Language & communication
語言與溝通,Language Teaching and Research Center,562003.0,GELT00001,,"進階(87)
語言與溝通-英文(111)","English Listening and Discussion
LCLE",英文聽力與討論,25,0.0,R12-A504[GF],2.0,2.0,鄭維容,Language & communication
語言與溝通,Language Teaching and Research Center,562004.0,GELT00001,,"進階(87)
語言與溝通-英文(111)","English Listening and Discussion
LCLE",英文聽力與討論,25,0.0,R34-A504[GF],2.0,2.0,鄭維容,Language & communication
語言與溝通,Language Teaching and Research Center,562005.0,GELT00001,,"進階(87)
語言與溝通-英文(111)","English Listening and Discussion
LCLEDL",英文聽力與討論,25,0.0,R56-A505[GF],2.0,2.0,吳思葦,Language & communication
語言與溝通,Language Teaching and Research Center,562006.0,GELT00001,[English Medium Course],"進階(87)
語言與溝通-英文(111)","English Listening and Discussion
LCLEENG",英文聽力與討論,25,0.0,F12-A502[GF],2.0,2.0,李麥德,Language & communication
語言與溝通,Language Teaching and Research Center,562007.0,GELT00001,,"進階(87)
語言與溝通-英文(111)","English Listening and Discussion
LCLE",英文聽力與討論,25,0.0,F34-,2.0,2.0,吳思葦,Language & communication
語言與溝通,Language Teaching and Research Center,562008.0,GELT00001,[English Medium Course],"進階(87)
語言與溝通-英文(111)","English Listening and Discussion
LCLEENG",英文聽力與討論,25,0.0,F34-A502[GF],2.0,2.0,李麥德,Language & communication
語言與溝通,Language Teaching and Research Center,562009.0,GELT00002,,"進階(87)
語言與溝通-英文(111)","English Listening and Writing
LCLE",英文聽力與寫作,25,0.0,M78-A502[GF],2.0,2.0,闕郁軒,Language & communication
語言與溝通,Language Teaching and Research Center,562010.0,GELT00002,,"進階(87)
語言與溝通-英文(111)","English Listening and Writing
LCLE",英文聽力與寫作,25,0.0,W34-A307[GF],2.0,2.0,吳宇晴,Language & communication
語言與溝通,Language Teaching and Research Center,562011.0,GELT00002,,"進階(87)
語言與溝通-英文(111)","English Listening and Writing
LCLE",英文聽力與寫作,25,0.0,W56-A308[GF],2.0,2.0,闕郁軒,Language & communication
語言與溝通,Language Teaching and Research Center,562012.0,GELT00002,,"進階(87)
語言與溝通-英文(111)","English Listening and Writing
LCLE",英文聽力與寫作,25,0.0,R34-A405[GF],2.0,2.0,吳宇晴,Language & communication
語言與溝通,Language Teaching and Research Center,562013.0,GELT00003,,"進階(87)
語言與溝通-英文(111)","English Reading and Discussion
LCLE",英文閱讀與討論,25,0.0,M78-A308[GF],2.0,2.0,林玉書,Language & communication
語言與溝通,Language Teaching and Research Center,562014.0,GELT00003,,"進階(87)
語言與溝通-英文(111)","English Reading and Discussion
LCLE",英文閱讀與討論,25,0.0,T12-A502[GF],2.0,2.0,林玉書,Language & communication
語言與溝通,Language Teaching and Research Center,562015.0,GELT00003,,"進階(87)
語言與溝通-英文(111)","English Reading and Discussion
LCLE",英文閱讀與討論,25,0.0,W34-A405[GF],2.0,2.0,林玉書,Language & communication
語言與溝通,Language Teaching and Research Center,562016.0,GELT00003,,"進階(87)
語言與溝通-英文(111)","English Reading and Discussion
LCLE",英文閱讀與討論,25,0.0,W56-A307[GF],2.0,2.0,吳宇晴,Language & communication
語言與溝通,Language Teaching and Research Center,562017.0,GELT00003,,"進階(87)
語言與溝通-英文(111)","English Reading and Discussion
LCLE",英文閱讀與討論,25,0.0,W56-A405[GF],2.0,2.0,林玉書,Language & communication
語言與溝通,Language Teaching and Research Center,562018.0,GELT00003,,"進階(87)
語言與溝通-英文(111)","English Reading and Discussion
LCLE",英文閱讀與討論,25,0.0,R56-A502[GF],2.0,2.0,吳宇晴,Language & communication
語言與溝通,Language Teaching and Research Center,562019.0,GELT00004,,"進階(87)
語言與溝通-英文(111)","English Reading and Writing
LCLE",英文閱讀與寫作,25,0.0,M56-A405[GF],2.0,2.0,黃佩如,Language & communication
語言與溝通,Language Teaching and Research Center,562020.0,GELT00004,,"進階(87)
語言與溝通-英文(111)","English Reading and Writing
LCLE",英文閱讀與寫作,25,0.0,M78-A405[GF],2.0,2.0,黃佩如,Language & communication
語言與溝通,Language Teaching and Research Center,562021.0,GELT00004,,"進階(87)
語言與溝通-英文(111)","English Reading and Writing
LCLE",英文閱讀與寫作,25,0.0,T12-A507[GF],2.0,2.0,林曉薇,Language & communication
語言與溝通,Language Teaching and Research Center,562022.0,GELT00004,,"進階(87)
語言與溝通-英文(111)","English Reading and Writing
LCLE",英文閱讀與寫作,25,0.0,T34-A507[GF],2.0,2.0,林曉薇,Language & communication
