,semester,college,department,course_id,course_code,memo,name,chinese_name,limit,reg_num,time,credit,hours,lecturer, type,type,summary
0,,Center of General Education, Department of Physical Therapy and Assistive Technology,,,,,,,,,,,,,,
1,,Center of General Education,Department of Biological Science and Technology,,,,,,,,,,,,,,
2,111 Fall Semester,Center of General Education,Department of Biological Science and Technology,410007,BTBT10014,中一中科學班，上限90人 通識校基本 通識跨院,"General Biology
GECLGEC[ECE,COS,CHK] GECIDAST",普通生物學（一）,90,82,"W5-SA320[GF],M34-SC106[GF]",3,3,林勇欣、趙啟宏、蘇昱誠,,Required,
3,,Center of General Education,Department of Biological Science and Technology,,,,,,,,,,,,,,
4,111 Fall Semester,Center of General Education,Department of Biological Science and Technology,410008,BTBT10014,上限90人 通識校基本 通識跨院,"General Biology
GECLGEC[ECE,COS,CHK] GECIDAST",普通生物學（一）,90,83,W6R56-SA320[GF],3,3,林勇欣、鄒協成、莊碧簪,,Required,
5,,Center of General Education,Department of Biological Science and Technology,,,,,,,,,,,,,,
6,111 Fall Semester,Center of General Education,Department of Biological Science and Technology,410018,BTBT10042,"限120人通識跨院 通識校基本[資,工,理] 生科系老師合開 遠距授課","Introduction to Biotechnology (I)
GECL[ECE,CCS,COE,COS,CI] GECIDLDAST",生物科技概論(一),120,137,T2-,1,1,蘭宜錚,,Required,
7,,Center of General Education,Department of Foreign Languages and Literatures,,,,,,,,,,,,,,
8,111 Fall Semester,Center of General Education,Department of Foreign Languages and Literatures,514104,HSFL10032,華語學程，共掛核心課程[English Medium Course],"Introduction to Linguistics (1)
Optional Liberal EducationDASCENG",語言學概論(一),80,76,R34-F210[GF],2,2,盧郁安,,Required,
9,,Center of General Education,Department of Foreign Languages and Literatures,,,,,,,,,,,,,,
10,111 Fall Semester,Center of General Education,Department of Foreign Languages and Literatures,514122,HSFL10029,,"Introduction to Western Literature (1)
Art and CulturesGECLGEC[COE,COS,CBT,CHK,CI] GECIDAHA",西洋文學概論(一),110,88,T234-F110[GF],3,3,李家沂,,Required,
11,111 Fall Semester,Center of General Education,Department of Foreign Languages and Literatures,514131,HSFL10041,專選，文類-小說，開放二三四年級選課，共掛核心課程[English Medium Course],"Dystopian Fiction and Film (Genre: Fiction)
Art and CulturesGECLDAHAENG",反烏托邦小說與電影（文類課：小說）,25,23,F234-HC402[GF],3,3,包德樂,,Elective,
12,,Center of General Education,Department of Humanities and Social Sciences,,,,,,,,,,,,,,
13,111 Fall Semester,Center of General Education,Department of Humanities and Social Sciences,310000,HKHS10001,,"Anthropology
History and CivilizationsGECL[CHS] GECIDASC",人類學,60,61,R567-SC160[GF],3,3,簡美玲,,Required,
14,111 Fall Semester,Center of General Education,Department of Humanities and Social Sciences,310001,HKHS10003,,"Global History
History and CivilizationsGECLDASC",全球史,60,63,M567-HKB09[LJ],3,3,盧正恒,,Required,
15,111 Fall Semester,Center of General Education,Department of Humanities and Social Sciences,310002,HKHS10005,上課地點:客家學院4樓國際會議廳,"Introduction to Hakka Society and Culture
History and CivilizationsGECL[COE,CI] GECIDASC",客家社會與文化導論,100,99,M234-,3,3,羅烈師,,Required,
16,,Center of General Education,Department of Humanities and Social Sciences,,,,,,,,,,,,,,
17,111 Fall Semester,Center of General Education,Department of Humanities and Social Sciences,310008,HKHS10006,,"Sociological Theories
Society and EconomyGECL[COM] GECIDASC",社會學理論,40,44,R567-HK106[LJ],3,3,林秀幸,,Elective,
18,111 Fall Semester,Center of General Education,Department of Humanities and Social Sciences,310009,HKHS10007,,"Reading Classics of Social Studies(I)
History and CivilizationsGECDASC",社會經典閱讀(一),60,49,R234-HKB09[LJ],3,3,莊雅仲,,Required,
19,111 Fall Semester,Center of General Education,Department of Humanities and Social Sciences,310010,HKHS10002,,"Reading Classics of Humanities(I)
History and CivilizationsGECDAHA",人文經典閱讀(一),60,46,M234-HKB09[LJ],3,3,劉大和,,Required,
20,111 Fall Semester,Center of General Education,Department of Humanities and Social Sciences,310016,HKHS20017,上課地點:資訊中心訓練教室,"Streaming Media (Netflix, Apple TV+, Disney+) Film and TV Drama Commentary
Optional Liberal EducationGECLDAHA",串流媒體影視評析,Unlimited,33,R234-,3,3,段馨君,,Elective,
21,,Center of General Education,Department of Humanities and Social Sciences,,,,,,,,,,,,,,
22,111 Fall Semester,Center of General Education,Department of Humanities and Social Sciences,310022,HKHS20023,遠距課程,"Nativist Literature and Science Fiction
Optional Liberal EducationGECLDLDASC",鄉土與科幻,40,16,R567-HK105[LJ],3,3,蔣淑貞,,Elective,
23,,Center of General Education,Department of Communication and Technology,,,,,,,,,,,,,,
24,111 Fall Semester,Center of General Education,Department of Communication and Technology,310102,HKCT10011,,"Multi-cultures and Communication
Society and EconomyGECL[COM,CBT] GECIDASC",多元文化與傳播,45,47,M567-A310[GF],3,3,李美華,,Elective,
25,111 Fall Semester,Center of General Education,Department of Communication and Technology,310103,HKCT20029,[English Medium Course],"Audiences and Popular Culture
Optional Liberal EducationGECLDASCENG",閱聽人與流行文化,30,35,T234-HK104[LJ],3,3,陳維平,,Elective,
26,,Center of General Education,Department of Communication and Technology,,,,,,,,,,,,,,
27,111 Fall Semester,Center of General Education,Department of Communication and Technology,310110,HKCT10013,,"Media Culture and Society
Society and Economy[CBT] GECIDASC",媒體文化與社會,50,53,R234-HKB08[LJ],3,3,黃淑鈴,,Required,
28,111 Fall Semester,Center of General Education,Department of Communication and Technology,310117,HKCT10012,[English Medium Course],"Media Literacy: Planning and Practice
Optional Liberal EducationGECLDASCENG",媒體素養企劃與實作,Unlimited,34,F234-HK104[LJ],3,3,蔡欣怡,,Elective,
29,,Center of General Education,College of Humanities and Social Science,,,,,,,,,,,,,,
30,111 Fall Semester,Center of General Education,College of Humanities and Social Science,514003,HSCH00007,,"Digital Image Design
GECLDAHA",數位影像創作,30,42,M567-HC103[GF],3,3,羅曉愉,,Elective,
31,111 Fall Semester,Center of General Education,College of Humanities and Social Science,514004,HSCH00008,,"Introduction to Technology and Art
Art and Cultures[ECE,CCS,COE,COS,COM,CBT,CHK,CI] GECIDAHA",科技藝術概論,30,51,R56-HC103[GF],2,2,林欣怡,,Elective,
32,111 Fall Semester,Center of General Education,College of Humanities and Social Science,514005,HSCH00015,,"Introduction to Design
Art and CulturesGECLDAHA",設計概論,60,63,F34-HC103[GF],2,2,謝明勳,,Elective,
33,111 Fall Semester,Center of General Education,College of Humanities and Social Science,514006,HSCH00002,,"Introduction of Visual Art
Art and CulturesGECLDAHA",視覺藝術概論,30,45,R34-HC103[GF],2,2,林合懿,,Required,
34,111 Fall Semester,Center of General Education,College of Humanities and Social Science,514008,HSCH10016,,"Creative City and Sustainable Ecology
Science, Technology and Society[ECE,CCS,COE,COS,CBT,CHK,CI] GECIDAST",創意城市與永續生態,60,78,F56-F110[GF],2,2,曾聖凱,,Elective,
35,111 Fall Semester,Center of General Education,College of Humanities and Social Science,514009,HSCH10017,,"Anime(ACG or Otaku) Culture and Internet Communication
GECLDASC",動漫文化與網路傳播,25,53,M56-HC105[GF],2,2,羅禾淋,,Elective,
36,111 Fall Semester,Center of General Education,College of Humanities and Social Science,514010,HSCH10024,,"Story and Scenario Design
[CCS,COS,CHS] GECIDASC",故事與情境設計,20,14,S34-HC104[GF],2,2,李峻德,,Elective,
37,111 Fall Semester,Center of General Education,College of Humanities and Social Science,514013,HSCH10009,,"Contemporary Art and Cross-Disciplinary Design
Optional Liberal EducationGECLDAHA",當代藝術與跨域設計,20,17,T56-HC101[GF],2,2,林愛真,,Elective,
38,111 Fall Semester,Center of General Education,College of Humanities and Social Science,514019,HSCH10011,,"Foundation Design（I）
Optional Liberal EducationGECLDAHA",基本設計初階,25,36,T234-HC103[GF],3,3,劉靜純,,Required,
39,111 Fall Semester,Center of General Education,College of Humanities and Social Science,514021,HSCH10026,,"Creactive Copywriting and Story Scripting
LCCCGECL",創意文案與故事腳本,25,30,W34-HC101[GF],2,2,童一寧,,Elective,
40,111 Fall Semester,Center of General Education,College of Humanities and Social Science,514022,HSCH10029,,"Introduction to Entertainment Narratives
Optional Liberal Education[ECE,CCS,COS,CBT,CHS,CHK] GECIDASC",娛樂敘事概論,25,29,R56-HC104[GF],2,2,陳延昇,,Elective,
41,,Center of General Education,Department of Electrical and Computer Engineering,,,,,,,,,,,,,,
42,111 Fall Semester,Center of General Education,Department of Electrical and Computer Engineering,515102,EEEC10012,電機系大一新生優先。開放電機系A~F班、醫師工程師組同學自由選課。實驗時間為Mabc -ED713。 資工.電物.應數.機械.「108學年起入學奈米學士班」.生科系及管理學院不同意所屬學生採計通識學分。以電機系學生優先，請其他系所學生於開學後再開放加選。,"Introduction to Computers and Programming
FCQRGECL[COE,CI] GECI",計算機概論與程式設計,50,49,Mn56-ED203[GF],3,3,溫宏斌,,Required,
43,,Center of General Education,Department of Electrical and Computer Engineering,,,,,,,,,,,,,,
