semester,course_id,course_code,memo,name,chinese_name,limit,reg_num,time,credit,hours,lecturer, type,type,summary
1111.0,410007.0,BTBT10014,中一中科學班，上限90人 通識校基本 通識跨院,"General Biology
GECLGEC[ECE,COS,CHK] GECIDAST",普通生物學（一）,90,82,"W5-SA320[GF],M34-SC106[GF]",3.0,3.0,林勇欣、趙啟宏、蘇昱誠,,1,
1111.0,410008.0,BTBT10014,上限90人 通識校基本 通識跨院,"General Biology
GECLGEC[ECE,COS,CHK] GECIDAST",普通生物學（一）,90,83,W6R56-SA320[GF],3.0,3.0,林勇欣、鄒協成、莊碧簪,,1,
1111.0,410018.0,BTBT10042,"限120人通識跨院 通識校基本[資,工,理] 生科系老師合開 遠距授課","Introduction to Biotechnology (I)
GECL[ECE,CCS,COE,COS,CI] GECIDLDAST",生物科技概論(一),120,137,T2-,1.0,1.0,蘭宜錚,,1,
1111.0,514104.0,HSFL10032,華語學程，共掛核心課程[English Medium Course],"Introduction to Linguistics (1)
Optional Liberal EducationDASCENG",語言學概論(一),80,76,R34-F210[GF],2.0,2.0,盧郁安,,1,
1111.0,514122.0,HSFL10029,,"Introduction to Western Literature (1)
Art and CulturesGECLGEC[COE,COS,CBT,CHK,CI] GECIDAHA",西洋文學概論(一),110,88,T234-F110[GF],3.0,3.0,李家沂,,1,
1111.0,514131.0,HSFL10041,專選，文類-小說，開放二三四年級選課，共掛核心課程[English Medium Course],"Dystopian Fiction and Film (Genre: Fiction)
Art and CulturesGECLDAHAENG",反烏托邦小說與電影（文類課：小說）,25,23,F234-HC402[GF],3.0,3.0,包德樂,,2,
1111.0,310000.0,HKHS10001,,"Anthropology
History and CivilizationsGECL[CHS] GECIDASC",人類學,60,61,R567-SC160[GF],3.0,3.0,簡美玲,,1,
1111.0,310001.0,HKHS10003,,"Global History
History and CivilizationsGECLDASC",全球史,60,63,M567-HKB09[LJ],3.0,3.0,盧正恒,,1,
1111.0,310002.0,HKHS10005,上課地點:客家學院4樓國際會議廳,"Introduction to Hakka Society and Culture
History and CivilizationsGECL[COE,CI] GECIDASC",客家社會與文化導論,100,99,M234-,3.0,3.0,羅烈師,,1,
1111.0,310008.0,HKHS10006,,"Sociological Theories
Society and EconomyGECL[COM] GECIDASC",社會學理論,40,44,R567-HK106[LJ],3.0,3.0,林秀幸,,2,
1111.0,310009.0,HKHS10007,,"Reading Classics of Social Studies(I)
History and CivilizationsGECDASC",社會經典閱讀(一),60,49,R234-HKB09[LJ],3.0,3.0,莊雅仲,,1,
1111.0,310010.0,HKHS10002,,"Reading Classics of Humanities(I)
History and CivilizationsGECDAHA",人文經典閱讀(一),60,46,M234-HKB09[LJ],3.0,3.0,劉大和,,1,
1111.0,310016.0,HKHS20017,上課地點:資訊中心訓練教室,"Streaming Media (Netflix, Apple TV+, Disney+) Film and TV Drama Commentary
Optional Liberal EducationGECLDAHA",串流媒體影視評析,Unlimited,33,R234-,3.0,3.0,段馨君,,2,
1111.0,310022.0,HKHS20023,遠距課程,"Nativist Literature and Science Fiction
Optional Liberal EducationGECLDLDASC",鄉土與科幻,40,16,R567-HK105[LJ],3.0,3.0,蔣淑貞,,2,
1111.0,310102.0,HKCT10011,,"Multi-cultures and Communication
Society and EconomyGECL[COM,CBT] GECIDASC",多元文化與傳播,45,47,M567-A310[GF],3.0,3.0,李美華,,2,
1111.0,310103.0,HKCT20029,[English Medium Course],"Audiences and Popular Culture
Optional Liberal EducationGECLDASCENG",閱聽人與流行文化,30,35,T234-HK104[LJ],3.0,3.0,陳維平,,2,
1111.0,310110.0,HKCT10013,,"Media Culture and Society
Society and Economy[CBT] GECIDASC",媒體文化與社會,50,53,R234-HKB08[LJ],3.0,3.0,黃淑鈴,,1,
1111.0,310117.0,HKCT10012,[English Medium Course],"Media Literacy: Planning and Practice
Optional Liberal EducationGECLDASCENG",媒體素養企劃與實作,Unlimited,34,F234-HK104[LJ],3.0,3.0,蔡欣怡,,2,
1111.0,514003.0,HSCH00007,,"Digital Image Design
GECLDAHA",數位影像創作,30,42,M567-HC103[GF],3.0,3.0,羅曉愉,,2,
1111.0,514004.0,HSCH00008,,"Introduction to Technology and Art
Art and Cultures[ECE,CCS,COE,COS,COM,CBT,CHK,CI] GECIDAHA",科技藝術概論,30,51,R56-HC103[GF],2.0,2.0,林欣怡,,2,
1111.0,514005.0,HSCH00015,,"Introduction to Design
Art and CulturesGECLDAHA",設計概論,60,63,F34-HC103[GF],2.0,2.0,謝明勳,,2,
1111.0,514006.0,HSCH00002,,"Introduction of Visual Art
Art and CulturesGECLDAHA",視覺藝術概論,30,45,R34-HC103[GF],2.0,2.0,林合懿,,1,
1111.0,514008.0,HSCH10016,,"Creative City and Sustainable Ecology
Science, Technology and Society[ECE,CCS,COE,COS,CBT,CHK,CI] GECIDAST",創意城市與永續生態,60,78,F56-F110[GF],2.0,2.0,曾聖凱,,2,
1111.0,514009.0,HSCH10017,,"Anime(ACG or Otaku) Culture and Internet Communication
GECLDASC",動漫文化與網路傳播,25,53,M56-HC105[GF],2.0,2.0,羅禾淋,,2,
1111.0,514010.0,HSCH10024,,"Story and Scenario Design
[CCS,COS,CHS] GECIDASC",故事與情境設計,20,14,S34-HC104[GF],2.0,2.0,李峻德,,2,
1111.0,514013.0,HSCH10009,,"Contemporary Art and Cross-Disciplinary Design
Optional Liberal EducationGECLDAHA",當代藝術與跨域設計,20,17,T56-HC101[GF],2.0,2.0,林愛真,,2,
1111.0,514019.0,HSCH10011,,"Foundation Design（I）
Optional Liberal EducationGECLDAHA",基本設計初階,25,36,T234-HC103[GF],3.0,3.0,劉靜純,,1,
1111.0,514021.0,HSCH10026,,"Creactive Copywriting and Story Scripting
LCCCGECL",創意文案與故事腳本,25,30,W34-HC101[GF],2.0,2.0,童一寧,,2,
1111.0,514022.0,HSCH10029,,"Introduction to Entertainment Narratives
Optional Liberal Education[ECE,CCS,COS,CBT,CHS,CHK] GECIDASC",娛樂敘事概論,25,29,R56-HC104[GF],2.0,2.0,陳延昇,,2,
1111.0,515102.0,EEEC10012,電機系大一新生優先。開放電機系A~F班、醫師工程師組同學自由選課。實驗時間為Mabc -ED713。 資工.電物.應數.機械.「108學年起入學奈米學士班」.生科系及管理學院不同意所屬學生採計通識學分。以電機系學生優先，請其他系所學生於開學後再開放加選。,"Introduction to Computers and Programming
FCQRGECL[COE,CI] GECI",計算機概論與程式設計,50,49,Mn56-ED203[GF],3.0,3.0,溫宏斌,,1,
1111.0,515103.0,EEEC10012,電機系大一新生優先。開放電機系A~F班、醫師工程師組同學自由選課。實驗時間為 Wabc-PC4 。資工.電物.應數.機械.「108學年起入學奈米學士班」.生科系及管理學院不同意所屬學生採計通識學分。以電機系學生優先，請其他系所學生於開學後再開放加選。,"Introduction to Computers and Programming
FCQRGECL[COE,CI] GECI",計算機概論與程式設計,60,56,T56R7-EE105[GF],3.0,3.0,蔡中庸,,1,
1111.0,515104.0,EEEC10012,電機系大一新生優先。開放電機系A~F班、醫師工程師組同學自由選課。課程R789與實作Rabc 教室安排於ED713。實驗時間為週四abc(ED713) 。資工.電物.應數.機械.「108學年起入學奈米學士班」.生科系及管理學院不同意所屬學生採計通識學分。以電機系學生優先，請其他系所學生於開學後再開放加選。,"Introduction to Computers and Programming
FCQRGECL[COE,CI] GECI",計算機概論與程式設計,50,32,R789abc-ED713[GF],3.0,3.0,黃紹華,,1,
1111.0,515105.0,EEEC10012,電機系大一新生優先。開放電機系A~F班、醫師工程師組同學自由選課。實驗時段Tabc-PC4(教室安排於資訊中心PC4)。 資工.電物.應數.機械.「108學年起入學奈米學士班」.生科系及管理學院不同意所屬學生採計通識學分。以電機系學生優先，請其他系所學生於開學後再開放加選。,"Introduction to Computers and Programming
FCQRGECL[COE,CI] GECI",計算機概論與程式設計,60,72,M56R2-EE105[GF],3.0,3.0,蔡中庸,,1,
1111.0,515108.0,EEEC10012,電機系大一新生優先。開放電機系A~F班、醫師工程師組同學自由選課。上課教室:工程五館635室。實驗時間為週一晚上abc(EE635)。資工.電物.應數.機械.「108學年起入學奈米學士班」.生科系及管理學院不同意所屬學生採計通識學分。以電機系學生優先，請其他系所學生於開學後再開放加選。,"Introduction to Computers and Programming
FCQRGECL[COE,CI] GECI",計算機概論與程式設計,50,53,M56R2-EE635[GF],3.0,3.0,王傑智,,1,
1111.0,515109.0,EEEC10012,"電機系大一新生優先。開放電機系A~F班、醫師工程師組同學自由選課。實驗時間為週一abc(地點:PC2,PC3)。資工.電物.應數.機械.「108學年起入學奈米學士班」.生科系及管理學院不同意所屬學生採計通識學分。以電機系學生優先，請其他系所學生於開學後再開放加選。","Introduction to Computers and Programming
FCQRGECL[COE,CI] GECI",計算機概論與程式設計,85,95,M56R2-ED116[GF],3.0,3.0,劉建男,,1,
1111.0,515110.0,EEEC10012,電機系大一新生優先。開放電機系A~F班、醫師工程師組同學自由選課。課程教室工四館ED713、實作於週二晚上Tabc (ED713)。資工.電物.應數.機械.「108學年起入學奈米學士班」.生科系及管理學院不同意所屬學生採計通識學分。以電機系學生優先，請其他系所學生於開學後再開放加選。,"Introduction to Computers and Programming
FCQRGECL[COE,CI] GECI",計算機概論與程式設計,50,43,M56R2-ED713[GF],3.0,3.0,黃育綸,,1,
1111.0,515118.0,EEEC20082,以電機系學生優先選課。,"Discrete Mathematics
FCQR[COE,CI] GECI",離散數學,100,119,M56R2-ED219[GF],3.0,3.0,帥宏翰,,2,
1111.0,515121.0,EEEC10022,實驗課有兩個時段: 週二T 晚上abc or 週四R 晚上abc (EE635)，同學只要選一天即可,"Advanced Object-Oriented Programming
[COM] GECI",進階物件導向程式設計,100,20,W34F7-EE105[GF],3.0,3.0,蔡中庸,,2,
1111.0,515184.0,EEEC20050,上課教室工程五館EE222A [English Medium Course] 此課程不得列入生醫所畢業學分。需修畢或同時修習電子實驗才可加選。加選為通識學生請於開學後找老師加簽。,"Biomedical Engineering Laboratory
[COE,CI] GECIENG",生醫工程實驗,18,16,F567-,3.0,3.0,蔡德明,,2,
1111.0,515402.0,EEDP00003,,"Hands-on Experiments on Digital Optics
GECLDAST",數位光學實作,27,30,Tabc-CY201[GF],3.0,3.0,陳皇銘,,2,
1111.0,515415.0,EEDP20012,[English Medium Course],"Signals and Systems
[COE,CI] GECIENG",訊號與系統,Unlimited,80,T5R67-EO103[GF],3.0,3.0,鄒志偉,,1,
