department,course_id,course_code,memo,name,chinese_name,limit,reg_num,time,credit,hours,lecturer,type
SET,910000.0,SESE20073,,"Capstone
",專題實作,Unlimited,0.0,S567-,0.0,3.0,系統工程,Elective
SET,910001.0,SESE10225,,"System Programming
",系統程式,Unlimited,0.0,W234-,3.0,3.0,林政寬,Elective
SET,910002.0,SESE00125,,"Ceramic Materials
",陶瓷材料,Unlimited,0.0,T234-,3.0,3.0,楊朝堯,Elective
SET,910003.0,SESE10226,,"Introduction to Recent Advances in Engineering
",新興工程概論,Unlimited,0.0,Mabc-,3.0,3.0,黃衍佐,Elective
SET,910004.0,SESE10227,,"Construction Engineering Management
ENG",營建工程管理,Unlimited,25.0,M34R1-,3.0,3.0,高明秀,Required
SET,910005.0,SESE10228,,"Satellite Technology and Application
",衛星科技與應用,Unlimited,0.0,F234-,3.0,3.0,魏世昕,Elective
SET,910006.0,SESE10229,,"Numerical Methods
",數值方法,Unlimited,0.0,W234-,3.0,3.0,紀虹名,Elective
SET,910007.0,SESE10157,,"Electronics Circuits (2)
",電子學(2),Unlimited,25.0,W234-,3.0,3.0,巫朝陽,Required
SET,910008.0,SESE10045,,"Engineering Mechanics - Dynamics
",應用力學-動力學,Unlimited,19.0,T678-,3.0,3.0,金大仁,Required
SET,910009.0,SESE10231,,"Engineering Mathematics(2)
",工程數學(2),Unlimited,25.0,W678-,3.0,3.0,曾煜輝,Required
SET,910010.0,SESE10015,,"Geomorphology
",地形學,Unlimited,0.0,T234-,3.0,3.0,史天元,Elective
SET,910011.0,SESE00093,,"Calculus(2)
",微積分(2),Unlimited,0.0,M34W12-,4.0,4.0,蘇承芳,Required
SET,910012.0,SESE10055,,"General Physics(2)
",普通物理(2),Unlimited,0.0,R234-,3.0,3.0,杜建明,Required
SET,910013.0,SESE10232,,"Seminar and Lab(2)
",基礎科學講座與實驗(2),Unlimited,0.0,S234567-,0.0,3.0,劉宗哲,Required
SET,910014.0,SESE00027,,"Programming Language Tutor
",微積分輔導(2),Unlimited,0.0,Mabc-,0.0,3.0,系統工程,Elective
SET,910015.0,SESE00037,,"General Physics Tutor(2)
",普通物理輔導(2),Unlimited,0.0,Wabc-,0.0,3.0,系統工程,Elective
SET,910016.0,SESE00049,,"Programming Language Tutor
",程式語言輔導,Unlimited,0.0,Fabc-,0.0,3.0,系統工程,Elective
SET,910017.0,SESE00126,,"Intermediate English (2)
",中級英文(2),Unlimited,0.0,T89-,2.0,2.0,系統工程,Elective
SET,910018.0,SESE00052,,"English(2)
",英文(2),Unlimited,0.0,Wabc-,3.0,3.0,系統工程,Required
SET,910019.0,SESE10185,,"Ethics in Engineering
",工程倫理,Unlimited,0.0,F34-,2.0,2.0,張德仁,Required
SET,910020.0,SESE10041,,"Psychology
",心理學,Unlimited,0.0,R12-,2.0,2.0,系統工程,Required
SET,910021.0,SESE00126,,"Intermediate English (2)
",中級英文(2),Unlimited,0.0,F12-,2.0,2.0,系統工程,Elective
SET,910022.0,SESE10041,,"Psychology
",心理學,Unlimited,0.0,M34-,2.0,2.0,系統工程,Required
SET,910023.0,SESE00126,,"Intermediate English (2)
",中級英文(2),Unlimited,0.0,T56-,2.0,2.0,系統工程,Elective
SET,910024.0,SESE10041,,"Psychology
",心理學,Unlimited,0.0,R34-,2.0,2.0,系統工程,Required
SET,910025.0,SESE00126,,"Intermediate English (2)
",中級英文(2),Unlimited,0.0,T12-,2.0,2.0,系統工程,Elective
SET,910026.0,SESE10041,,"Psychology
",心理學,Unlimited,0.0,T34-,2.0,2.0,系統工程,Required
SET,910027.0,SESE00126,,"Intermediate English (2)
",中級英文(2),Unlimited,0.0,T34-,2.0,2.0,系統工程,Elective
SET,910028.0,SESE10146,,"Military Ethics
",軍事倫理學,Unlimited,24.0,F12-,2.0,2.0,系統工程,Required
SET,910029.0,SESE10146,,"Military Ethics
",軍事倫理學,Unlimited,25.0,F34-,2.0,2.0,系統工程,Required
SET,910030.0,SESE10009,,"Introdution to Philosophy
",哲學概論,Unlimited,0.0,T34-,2.0,2.0,系統工程,Required
SET,910031.0,SESE00126,,"Intermediate English (2)
",中級英文(2),Unlimited,0.0,F34-,2.0,2.0,系統工程,Elective
SET,910032.0,SESE10009,,"Introdution to Philosophy
",哲學概論,Unlimited,0.0,T12-,2.0,2.0,系統工程,Required
SET,910033.0,SESE00001,,"Chinese Modern History
",中國現代史(含國軍建軍史),Unlimited,21.0,W678-,3.0,3.0,系統工程,Required
SET,910034.0,SESE00018,,"Studies on Mainland China
",大陸問題研究,Unlimited,29.0,M567-,3.0,3.0,系統工程,Required
SET,910035.0,SESE00001,,"Chinese Modern History
",中國現代史(含國軍建軍史),Unlimited,6.0,R234-,3.0,3.0,系統工程,Required
SET,910036.0,SESE00018,,"Studies on Mainland China
",大陸問題研究,Unlimited,36.0,M567-,3.0,3.0,系統工程,Required
SET,910037.0,SESE00001,,"Chinese Modern History
",中國現代史(含國軍建軍史),Unlimited,25.0,F234-,3.0,3.0,系統工程,Required
SET,910038.0,SESE00018,,"Studies on Mainland China
",大陸問題研究,Unlimited,25.0,W234-,3.0,3.0,系統工程,Required
SET,910039.0,SESE00018,,"Studies on Mainland China
",大陸問題研究,Unlimited,32.0,T678-,3.0,3.0,系統工程,Required
SET,910040.0,SESE10243,,"General Physics Laboratory(2)
",普通物理實驗(2),Unlimited,0.0,M34-,2.0,2.0,系統工程,Required
SET,910041.0,SESE00052,,"English(2)
",英文(2),Unlimited,0.0,T12R1-,3.0,3.0,系統工程,Required
SET,910042.0,SESE00093,,"Calculus(2)
",微積分(2),Unlimited,0.0,T34R67-,4.0,4.0,張仁煦,Required
SET,910043.0,SESE00014,,"Chinese(2)
",國文(2),Unlimited,0.0,T678-,3.0,3.0,系統工程,Required
SET,910044.0,SESE00040,,"Introduction to Law
",法學概論 ,Unlimited,0.0,W12-,2.0,2.0,系統工程,Required
SET,910045.0,SESE10106,,"Int. to Programming Languages
",程式語言概論,Unlimited,0.0,F1-,1.0,1.0,張凱威,Required
SET,910046.0,SESE00093,,"Calculus(2)
",微積分(2),Unlimited,0.0,M34T12-,4.0,4.0,曾有志,Required
SET,910047.0,SESE10243,,"General Physics Laboratory(2)
",普通物理實驗(2),Unlimited,0.0,W12-,2.0,2.0,系統工程,Required
SET,910048.0,SESE00052,,"English(2)
",英文(2),Unlimited,0.0,T34R2-,3.0,3.0,系統工程,Required
SET,910049.0,SESE00040,,"Introduction to Law
",法學概論 ,Unlimited,0.0,W34-,2.0,2.0,系統工程,Required
SET,910050.0,SESE00014,,"Chinese(2)
",國文(2),Unlimited,0.0,W678-,3.0,3.0,系統工程,Required
SET,910051.0,SESE10106,,"Int. to Programming Languages
",程式語言概論,Unlimited,0.0,M9-,1.0,1.0,張凱威,Required
SET,910052.0,SESE10055,,"General Physics(2)
",普通物理(2),Unlimited,0.0,R34F1-,3.0,3.0,王哲釧,Required
SET,910053.0,SESE00040,,"Introduction to Law
",法學概論 ,Unlimited,0.0,M67-,2.0,2.0,系統工程,Required
SET,910054.0,SESE10106,,"Int. to Programming Languages
",程式語言概論,Unlimited,0.0,T2-,1.0,1.0,張凱威,Required
SET,910055.0,SESE10243,,"General Physics Laboratory(2)
",普通物理實驗(2),Unlimited,0.0,T34-,2.0,2.0,系統工程,Required
SET,910056.0,SESE00014,,"Chinese(2)
",國文(2),Unlimited,0.0,T678-,3.0,3.0,系統工程,Required
SET,910057.0,SESE00052,,"English(2)
",英文(2),Unlimited,0.0,W34R6-,3.0,3.0,系統工程,Required
