,semester,college,department,course_id,course_code,memo,name,chinese_name,limit,reg_num,time,credit,hours,lecturer, type,type
0,,Faculty of System Engineering,SET(Undergraduate Degree Program of System Engineering and Technology),,,,,,,,,,,,,
1,111 Fall Semester,Faculty of System Engineering,SET(Undergraduate Degree Program of System Engineering and Technology),910000,SESE20015,,"Cartography
",地圖學,Unlimited,6,R234-,3,3,史天元,,Required
2,111 Fall Semester,Faculty of System Engineering,SET(Undergraduate Degree Program of System Engineering and Technology),910001,SESE10042,,"Engineering Mechanics - Statics
",應用力學－靜力學,Unlimited,19,T567-,3,3,金大仁,,Required
3,111 Fall Semester,Faculty of System Engineering,SET(Undergraduate Degree Program of System Engineering and Technology),910002,SESE10026,,"Engineering Mathematics(1)
",工程數學(1),Unlimited,13,W567-,3,3,曾煜輝,,Required
4,111 Fall Semester,Faculty of System Engineering,SET(Undergraduate Degree Program of System Engineering and Technology),910003,SESE10156,,"Electronics Circuits (1)
",電子學(1),Unlimited,38,M567-,3,3,巫朝陽,,Required
5,111 Fall Semester,Faculty of System Engineering,SET(Undergraduate Degree Program of System Engineering and Technology),910004,SESE20014,,"Graph Theory
",圖形理論,Unlimited,13,W234-,3,3,林政寬,,Elective
6,111 Fall Semester,Faculty of System Engineering,SET(Undergraduate Degree Program of System Engineering and Technology),910005,SESE10148,,"Software Requirements Analysis
",軟體需求分析,Unlimited,37,F234-,3,3,紀虹名,,Elective
7,111 Fall Semester,Faculty of System Engineering,SET(Undergraduate Degree Program of System Engineering and Technology),910006,SESE20030,,"Optical, Electronic, and Magnetic Properties of Materials
",材料光電磁性質,Unlimited,11,T234-,3,3,楊朝堯,,Elective
8,111 Fall Semester,Faculty of System Engineering,SET(Undergraduate Degree Program of System Engineering and Technology),910007,SESE20070,,"Introduction to Space transportation System
",太空運輸系統概論,Unlimited,3,F234-,3,3,魏世昕,,Elective
9,111 Fall Semester,Faculty of System Engineering,SET(Undergraduate Degree Program of System Engineering and Technology),910008,SESE20071,,"Theory and Applications of Building Information Modeling
",建築資訊模型之理論應用與實作,Unlimited,9,F234-,3,3,高明秀,,Elective
10,111 Fall Semester,Faculty of System Engineering,SET(Undergraduate Degree Program of System Engineering and Technology),910009,SESE20072,,"Computer Integrated Manufacturing and Smart Factory
ENG",電腦整合製造與智慧工廠,Unlimited,5,M9ab-,3,3,黃衍佐,,Elective
11,111 Fall Semester,Faculty of System Engineering,SET(Undergraduate Degree Program of System Engineering and Technology),910010,SESE00021,,"Tutor Guidance(1)
",導師輔導(1),Unlimited,22,M12-,0,2,王志嘉,,Required
12,111 Fall Semester,Faculty of System Engineering,SET(Undergraduate Degree Program of System Engineering and Technology),910011,SESE00021,,"Tutor Guidance(1)
",導師輔導(1),Unlimited,23,M12-,0,2,周志正,,Required
13,111 Fall Semester,Faculty of System Engineering,SET(Undergraduate Degree Program of System Engineering and Technology),910014,SESE00021,,"Tutor Guidance(1)
",導師輔導(1),Unlimited,26,M12-,0,2,系統工程,,Required
14,111 Fall Semester,Faculty of System Engineering,SET(Undergraduate Degree Program of System Engineering and Technology),910015,SESE00021,,"Tutor Guidance(1)
",導師輔導(1),Unlimited,27,M12-,0,2,李志國,,Required
15,111 Fall Semester,Faculty of System Engineering,SET(Undergraduate Degree Program of System Engineering and Technology),910017,SESE00023,,"Tutor Guidance(3)
",導師輔導(3),Unlimited,21,M12-,0,2,劉中宇,,Required
16,111 Fall Semester,Faculty of System Engineering,SET(Undergraduate Degree Program of System Engineering and Technology),910018,SESE00023,,"Tutor Guidance(3)
",導師輔導(3),Unlimited,19,M12-,0,2,羅序仁,,Required
17,111 Fall Semester,Faculty of System Engineering,SET(Undergraduate Degree Program of System Engineering and Technology),910019,SESE00023,,"Tutor Guidance(3)
",導師輔導(3),Unlimited,16,M12-,0,2,黃文鍵,,Required
18,111 Fall Semester,Faculty of System Engineering,SET(Undergraduate Degree Program of System Engineering and Technology),910020,SESE00023,,"Tutor Guidance(3)
",導師輔導(3),Unlimited,12,M12-,0,2,吳憲珉,,Required
19,111 Fall Semester,Faculty of System Engineering,SET(Undergraduate Degree Program of System Engineering and Technology),910021,SESE00023,,"Tutor Guidance(3)
",導師輔導(3),Unlimited,24,M12-,0,2,宋欣芳,,Required
20,111 Fall Semester,Faculty of System Engineering,SET(Undergraduate Degree Program of System Engineering and Technology),910022,SESE00023,,"Tutor Guidance(3)
",導師輔導(3),Unlimited,10,M12-,0,2,賴渝翔,,Required
21,111 Fall Semester,Faculty of System Engineering,SET(Undergraduate Degree Program of System Engineering and Technology),910023,SESE00023,,"Tutor Guidance(3)
",導師輔導(3),Unlimited,6,M12-,0,2,賴渝翔,,Required
22,111 Fall Semester,Faculty of System Engineering,SET(Undergraduate Degree Program of System Engineering and Technology),910024,SESE00023,,"Tutor Guidance(3)
",導師輔導(3),Unlimited,25,M12-,0,2,葉宗翰,,Required
23,111 Fall Semester,Faculty of System Engineering,SET(Undergraduate Degree Program of System Engineering and Technology),910025,SESE00023,,"Tutor Guidance(3)
",導師輔導(3),Unlimited,13,M12-,0,2,藍建武,,Required
24,111 Fall Semester,Faculty of System Engineering,SET(Undergraduate Degree Program of System Engineering and Technology),910026,SESE00023,,"Tutor Guidance(3)
",導師輔導(3),Unlimited,11,M12-,0,2,李永隆,,Required
25,111 Fall Semester,Faculty of System Engineering,SET(Undergraduate Degree Program of System Engineering and Technology),910027,SESE00023,,"Tutor Guidance(3)
",導師輔導(3),Unlimited,10,M12-,0,2,曾有志,,Required
26,111 Fall Semester,Faculty of System Engineering,SET(Undergraduate Degree Program of System Engineering and Technology),910028,SESE00023,,"Tutor Guidance(3)
",導師輔導(3),Unlimited,9,M12-,0,2,劉宗龍,,Required
27,111 Fall Semester,Faculty of System Engineering,SET(Undergraduate Degree Program of System Engineering and Technology),910029,SESE00023,,"Tutor Guidance(3)
",導師輔導(3),Unlimited,11,M12-,0,2,系統工程,,Required
28,111 Fall Semester,Faculty of System Engineering,SET(Undergraduate Degree Program of System Engineering and Technology),910030,SESE00023,,"Tutor Guidance(3)
",導師輔導(3),Unlimited,5,M12-,0,2,系統工程,,Required
29,111 Fall Semester,Faculty of System Engineering,SET(Undergraduate Degree Program of System Engineering and Technology),910031,SESE00025,,"Tutor Guidance(5)
",導師輔導(5),Unlimited,21,M12-,0,2,劉芳萍,,Required
30,111 Fall Semester,Faculty of System Engineering,SET(Undergraduate Degree Program of System Engineering and Technology),910032,SESE00025,,"Tutor Guidance(5)
",導師輔導(5),Unlimited,15,M12-,0,2,周兆龍,,Required
31,111 Fall Semester,Faculty of System Engineering,SET(Undergraduate Degree Program of System Engineering and Technology),910033,SESE00025,,"Tutor Guidance(5)
",導師輔導(5),Unlimited,11,M12-,0,2,游竹淋,,Required
32,111 Fall Semester,Faculty of System Engineering,SET(Undergraduate Degree Program of System Engineering and Technology),910034,SESE00025,,"Tutor Guidance(5)
",導師輔導(5),Unlimited,9,M12-,0,2,游竹淋,,Required
33,111 Fall Semester,Faculty of System Engineering,SET(Undergraduate Degree Program of System Engineering and Technology),910035,SESE00025,,"Tutor Guidance(5)
",導師輔導(5),Unlimited,18,M12-,0,2,張文南,,Required
34,111 Fall Semester,Faculty of System Engineering,SET(Undergraduate Degree Program of System Engineering and Technology),910036,SESE00025,,"Tutor Guidance(5)
",導師輔導(5),Unlimited,16,M12-,0,2,沈鴻禧,,Required
35,111 Fall Semester,Faculty of System Engineering,SET(Undergraduate Degree Program of System Engineering and Technology),910038,SESE00025,,"Tutor Guidance(5)
",導師輔導(5),Unlimited,24,M12-,0,2,陳淑娟,,Required
36,111 Fall Semester,Faculty of System Engineering,SET(Undergraduate Degree Program of System Engineering and Technology),910039,SESE00025,,"Tutor Guidance(5)
",導師輔導(5),Unlimited,25,M12-,0,2,聶若鹽,,Required
37,111 Fall Semester,Faculty of System Engineering,SET(Undergraduate Degree Program of System Engineering and Technology),910040,SESE00025,,"Tutor Guidance(5)
",導師輔導(5),Unlimited,24,M12-,0,2,陳幼良,,Required
