semester,course_id,course_code,memo,name,chinese_name,limit,reg_num,time,credit,hours,lecturer,type
1111,910000,SESE20015,,Cartography,地圖學,Unlimited,6,R234-,3,3,史天元,1
1111,910001,SESE10042,,Engineering Mechanics - Statics,應用力學－靜力學,Unlimited,19,T567-,3,3,金大仁,1
1111,910002,SESE10026,,Engineering Mathematics(1),工程數學(1),Unlimited,13,W567-,3,3,曾煜輝,1
1111,910003,SESE10156,,Electronics Circuits (1),電子學(1),Unlimited,38,M567-,3,3,巫朝陽,1
1111,910004,SESE20014,,Graph Theory,圖形理論,Unlimited,13,W234-,3,3,林政寬,2
1111,910005,SESE10148,,Software Requirements Analysis,軟體需求分析,Unlimited,37,F234-,3,3,紀虹名,2
1111,910006,SESE20030,,"Optical, Electronic, and Magnetic Properties of Materials",材料光電磁性質,Unlimited,11,T234-,3,3,楊朝堯,2
1111,910007,SESE20070,,Introduction to Space transportation System,太空運輸系統概論,Unlimited,3,F234-,3,3,魏世昕,2
1111,910008,SESE20071,,Theory and Applications of Building Information Modeling,建築資訊模型之理論應用與實作,Unlimited,9,F234-,3,3,高明秀,2
1111,910009,SESE20072,,"Computer Integrated Manufacturing and Smart Factory
ENG",電腦整合製造與智慧工廠,Unlimited,5,M9ab-,3,3,黃衍佐,2
1111,910010,SESE00021,,Tutor Guidance(1),導師輔導(1),Unlimited,22,M12-,0,2,王志嘉,1
1111,910011,SESE00021,,Tutor Guidance(1),導師輔導(1),Unlimited,23,M12-,0,2,周志正,1
1111,910014,SESE00021,,Tutor Guidance(1),導師輔導(1),Unlimited,26,M12-,0,2,系統工程,1
1111,910015,SESE00021,,Tutor Guidance(1),導師輔導(1),Unlimited,27,M12-,0,2,李志國,1
1111,910017,SESE00023,,Tutor Guidance(3),導師輔導(3),Unlimited,21,M12-,0,2,劉中宇,1
1111,910018,SESE00023,,Tutor Guidance(3),導師輔導(3),Unlimited,19,M12-,0,2,羅序仁,1
1111,910019,SESE00023,,Tutor Guidance(3),導師輔導(3),Unlimited,16,M12-,0,2,黃文鍵,1
1111,910020,SESE00023,,Tutor Guidance(3),導師輔導(3),Unlimited,12,M12-,0,2,吳憲珉,1
1111,910021,SESE00023,,Tutor Guidance(3),導師輔導(3),Unlimited,24,M12-,0,2,宋欣芳,1
1111,910022,SESE00023,,Tutor Guidance(3),導師輔導(3),Unlimited,10,M12-,0,2,賴渝翔,1
1111,910023,SESE00023,,Tutor Guidance(3),導師輔導(3),Unlimited,6,M12-,0,2,賴渝翔,1
1111,910024,SESE00023,,Tutor Guidance(3),導師輔導(3),Unlimited,25,M12-,0,2,葉宗翰,1
1111,910025,SESE00023,,Tutor Guidance(3),導師輔導(3),Unlimited,13,M12-,0,2,藍建武,1
1111,910026,SESE00023,,Tutor Guidance(3),導師輔導(3),Unlimited,11,M12-,0,2,李永隆,1
1111,910027,SESE00023,,Tutor Guidance(3),導師輔導(3),Unlimited,10,M12-,0,2,曾有志,1
1111,910028,SESE00023,,Tutor Guidance(3),導師輔導(3),Unlimited,9,M12-,0,2,劉宗龍,1
1111,910029,SESE00023,,Tutor Guidance(3),導師輔導(3),Unlimited,11,M12-,0,2,系統工程,1
1111,910030,SESE00023,,Tutor Guidance(3),導師輔導(3),Unlimited,5,M12-,0,2,系統工程,1
1111,910031,SESE00025,,Tutor Guidance(5),導師輔導(5),Unlimited,21,M12-,0,2,劉芳萍,1
1111,910032,SESE00025,,Tutor Guidance(5),導師輔導(5),Unlimited,15,M12-,0,2,周兆龍,1
1111,910033,SESE00025,,Tutor Guidance(5),導師輔導(5),Unlimited,11,M12-,0,2,游竹淋,1
1111,910034,SESE00025,,Tutor Guidance(5),導師輔導(5),Unlimited,9,M12-,0,2,游竹淋,1
1111,910035,SESE00025,,Tutor Guidance(5),導師輔導(5),Unlimited,18,M12-,0,2,張文南,1
1111,910036,SESE00025,,Tutor Guidance(5),導師輔導(5),Unlimited,16,M12-,0,2,沈鴻禧,1
1111,910038,SESE00025,,Tutor Guidance(5),導師輔導(5),Unlimited,24,M12-,0,2,陳淑娟,1
